連想語,ヒント1,ヒント2,ヒント3,ヒント4,ヒント5,問い語
すき焼き,牛肉,白菜,糸こんにゃく,ねぎ,割り下,メニュー
海外旅行,パスポート,スーツケース,ガイドブック,外貨,飛行機,どんなときに持っていく
通院,診察券,手帳,お薬手帳,お金,保険証,どんなときに持っていく
キャンプ,テント,寝袋,ランタン,クーラーボックス,ガスバーナー,どんなときに持っていく
遠足,お弁当,シート,リュック,水筒,帽子,どんなときに持っていく
習字,筆,墨,すずり,半紙,下敷き,使ってすること
ガーデニング,スコップ,じょうろ,植木鉢,肥料,種,使ってすること
日曜大工,のこぎり,糸のこ,釘,とんかち,かんな,使ってすること
お墓参り,お線香,お花,お水,お供え,マッチ,使ってすること
野菜,アスパラガス,ブロッコリー,もやし,しいたけ,レタス,仲間
果物,いちご,スイカ,パイナップル,ぶどう,キウイ,仲間
和菓子,桜餅,大福,柏餅,きんつば,羊羹,仲間
お菓子,ポテトチップ,チョコレート,グミ,キャンディー,ガム,仲間
肉食動物,チーター,ライオン,熊,ヒョウ,虎,どのような生き物
水の中にいる生き物,イルカ,クジラ,鯛,マス,鮎,どのような生き物
空を飛ぶ生き物,カラス,ハエ,蝶,鳩,コウモリ,どのような生き物
草食動物,うさぎ,馬,羊,パンダ,キリン,どのような生き物
緑,葉っぱ,ピーマン,キュウリ,キャベツ,アスパラガス,色
黒,髪の毛,闇,蟻,胡麻,墨,色
茶色,土,モグラ,木の幹,チョコレート,どんぐり,色
ピンク,桜餅,桃,桜,コスモス,フラミンゴ,色
東京都,スカイツリー,皇居,上野公園,浅草,国会議事堂,都道府県
北海道,札幌,函館,大雪山,キタキツネ,摩周湖,都道府県
長野県,善光寺,諏訪湖,日本アルプス,りんご,野沢菜,都道府県
長崎県,ちゃんぽん,平戸,原爆資料館,カステラ,グラバー邸,都道府県
野球,ボール,バット,審判,グローブ,ピッチャー,スポーツ
水泳,水着,バタフライ,平泳ぎ,クロール,バタ足,スポーツ
バレーボール,アタック,セッター,ボール,ネット,レシーブ,スポーツ
サッカー,ゴール,ボール,審判,レッドカード,シュート,スポーツ
公園,ブランコ,滑り台,砂場,鉄棒,ジャングルジム,場所
学校,理科室,音楽室,教室,家庭科室,校長室,場所
病院,診察室,手術室,救急室,レントゲン室,リハビリ訓練室,場所
空港,税関,両替所,管制塔,滑走路,免税店,場所
柑橘類,みかん,オレンジ,レモン,グレープフルーツ,キンカン,仲間
根菜類,じゃがいも,大根,カブ,サツマイモ,レンコン,仲間
緑黄色野菜,ほうれん草,人参,カボチャ,こまつな,ピーマン,仲間
麺類,そば,うどん,ラーメン,スパゲッティ,そうめん,仲間
入浴,タオル,石鹸,シャンプー,リンス,髭剃り,使ってすること
歯磨き,歯ブラシ,歯磨き粉,デンタルフロス,歯間ブラシ,コップ,使ってすること
洗濯,洗濯機,洗濯ばさみ,洗剤,柔軟剤,ハンガー,使ってすること
掃除,ほうき,ちりとり,雑巾,たわし,洗剤,使ってすること
野菜,大根,人参,じゃがいも,白菜,キャベツ,仲間
果物,りんご,バナナ,みかん,メロン,桃,仲間
調味料,塩,砂糖,醤油,コショウ,みそ,仲間
洋菓子,ケーキ,クッキー,ゼリー,プリン,ババロア,仲間
沖縄県,泡盛,首里城,琉球,那覇,シーサー,都道府県
静岡県,富士山,浜名湖,茶畑,みかん,うなぎ,都道府県
青森県,りんご,津軽三味線,ねぶた祭り,十和田湖,津軽海峡,都道府県
愛知県,金のしゃちほこ,味噌カツ,きしめん,名古屋コーチン,ひつまぶし,都道府県
イギリス,ロンドン橋,ビッグベン,エリザベス女王,ポンド,フィッシュアンドチップス,国
アメリカ,自由の女神,大統領,ワシントン,カリフォルニア,ミシシッピー川,国
エジプト,ピラミッド,クフ王,ナイル川,砂漠,ラクダ,国
オーストラリア,シドニー,カンガルー,コアラ,アデリーペンギン,エアーズロック,国
交番,おまわりさん,落し物,道案内,パトロール,パトカー,場所
市役所,住民票,戸籍,婚姻届け,福祉課,印鑑証明,場所
消防署,消防車,救急車,レスキュー隊,はしご車,消防士,場所
商店街,クリーニング屋,薬局,花屋,ケーキ屋,本屋,場所
