answer,stims,category
白,"['塩', 'ウサギ', '紙', '雪', '砂糖']",色
白,"['塩', 'ウサギ', '紙', '砂糖', '雪']",色
白,"['塩', '砂糖', '雪', 'ウサギ', '紙']",色
白,"['塩', '砂糖', '雪', '紙', 'ウサギ']",色
白,"['塩', '砂糖', 'ウサギ', '雪', '紙']",色
白,"['塩', '砂糖', 'ウサギ', '紙', '雪']",色
白,"['塩', '砂糖', '紙', '雪', 'ウサギ']",色
白,"['塩', '砂糖', '紙', 'ウサギ', '雪']",色
白,"['塩', '紙', '雪', 'ウサギ', '砂糖']",色
白,"['塩', '紙', '雪', '砂糖', 'ウサギ']",色
白,"['塩', '紙', 'ウサギ', '雪', '砂糖']",色
白,"['塩', '紙', 'ウサギ', '砂糖', '雪']",色
白,"['塩', '紙', '砂糖', '雪', 'ウサギ']",色
白,"['塩', '紙', '砂糖', 'ウサギ', '雪']",色
白,"['砂糖', '雪', 'ウサギ', '塩', '紙']",色
白,"['砂糖', '雪', 'ウサギ', '紙', '塩']",色
白,"['砂糖', '雪', '塩', 'ウサギ', '紙']",色
白,"['砂糖', '雪', '塩', '紙', 'ウサギ']",色
白,"['砂糖', '雪', '紙', 'ウサギ', '塩']",色
白,"['砂糖', '雪', '紙', '塩', 'ウサギ']",色
白,"['砂糖', 'ウサギ', '雪', '塩', '紙']",色
白,"['砂糖', 'ウサギ', '雪', '紙', '塩']",色
白,"['砂糖', 'ウサギ', '塩', '雪', '紙']",色
白,"['砂糖', 'ウサギ', '塩', '紙', '雪']",色
白,"['砂糖', 'ウサギ', '紙', '雪', '塩']",色
白,"['砂糖', 'ウサギ', '紙', '塩', '雪']",色
白,"['砂糖', '塩', '雪', 'ウサギ', '紙']",色
白,"['砂糖', '塩', '雪', '紙', 'ウサギ']",色
白,"['砂糖', '塩', 'ウサギ', '雪', '紙']",色
白,"['砂糖', '塩', 'ウサギ', '紙', '雪']",色
白,"['砂糖', '塩', '紙', '雪', 'ウサギ']",色
白,"['砂糖', '塩', '紙', 'ウサギ', '雪']",色
白,"['砂糖', '紙', '雪', 'ウサギ', '塩']",色
白,"['砂糖', '紙', '雪', '塩', 'ウサギ']",色
白,"['砂糖', '紙', 'ウサギ', '雪', '塩']",色
白,"['砂糖', '紙', 'ウサギ', '塩', '雪']",色
白,"['砂糖', '紙', '塩', '雪', 'ウサギ']",色
白,"['砂糖', '紙', '塩', 'ウサギ', '雪']",色
白,"['紙', '雪', 'ウサギ', '塩', '砂糖']",色
白,"['紙', '雪', 'ウサギ', '砂糖', '塩']",色
白,"['紙', '雪', '塩', 'ウサギ', '砂糖']",色
白,"['紙', '雪', '塩', '砂糖', 'ウサギ']",色
白,"['紙', '雪', '砂糖', 'ウサギ', '塩']",色
白,"['紙', '雪', '砂糖', '塩', 'ウサギ']",色
白,"['紙', 'ウサギ', '雪', '塩', '砂糖']",色
白,"['紙', 'ウサギ', '雪', '砂糖', '塩']",色
白,"['紙', 'ウサギ', '塩', '雪', '砂糖']",色
白,"['紙', 'ウサギ', '塩', '砂糖', '雪']",色
白,"['紙', 'ウサギ', '砂糖', '雪', '塩']",色
白,"['紙', 'ウサギ', '砂糖', '塩', '雪']",色
白,"['紙', '塩', '雪', 'ウサギ', '砂糖']",色
白,"['紙', '塩', '雪', '砂糖', 'ウサギ']",色
白,"['紙', '塩', 'ウサギ', '雪', '砂糖']",色
白,"['紙', '塩', 'ウサギ', '砂糖', '雪']",色
白,"['紙', '塩', '砂糖', '雪', 'ウサギ']",色
白,"['紙', '塩', '砂糖', 'ウサギ', '雪']",色
白,"['紙', '砂糖', '雪', 'ウサギ', '塩']",色
白,"['紙', '砂糖', '雪', '塩', 'ウサギ']",色
白,"['紙', '砂糖', 'ウサギ', '雪', '塩']",色
白,"['紙', '砂糖', 'ウサギ', '塩', '雪']",色
白,"['紙', '砂糖', '塩', '雪', 'ウサギ']",色
白,"['紙', '砂糖', '塩', 'ウサギ', '雪']",色
